 	Area	XM	YM	Slice
637	319	594.196	26.625	70
638	760	251.195	79.738	70
639	387	150.146	87.154	70
640	837	703.195	231.329	70
641	646	44.780	227.150	70
642	630	520	269.746	70
643	512	841.512	269.748	70
644	291	450.692	23.222	71
645	298	593.829	26.621	71
646	754	251.332	79.639	71
647	360	150.394	87.133	71
648	841	703.250	231.599	71
649	616	44.633	226.984	71
650	618	520.049	269.678	71
651	503	841.631	269.838	71
652	299	450.671	23.818	72
653	323	593.512	26.881	72
654	773	251.107	79.745	72
655	359	150.369	86.623	72
656	845	703.221	231.773	72
657	622	44.572	226.780	72
658	621	519.951	269.693	72
659	496	841.607	269.696	72
660	305	451.051	23.484	73
661	248	597.109	26.746	73
662	727	251.224	79.759	73
663	370	150.405	86.865	73
664	852	703.232	231.452	73
665	632	44.668	226.593	73
666	621	520.070	269.766	73
667	518	841.768	269.703	73
668	305	450.743	22.664	74
669	253	597.227	26.998	74
670	773	251.120	79.610	74
671	361	150.187	86.871	74
672	814	703.398	231.806	74
673	646	44.615	226.714	74
674	615	520.212	269.650	74
675	479	841.579	269.592	74
676	294	450.918	23.388	75
677	253	597.287	26.816	75
678	767	251.071	79.827	75
679	363	150.409	87.001	75
680	830	703.030	231.645	75
681	633	44.618	227.073	75
682	615	520.129	269.920	75
683	519	841.654	269.512	75
684	298	450.990	22.785	76
685	242	597.248	26.946	76
686	756	251.332	79.746	76
687	364	150.162	87.033	76
688	864	703.028	231.633	76
689	595	44.534	226.534	76
690	628	520.003	269.841	76
691	306	869.376	292.131	76
692	310	450.555	23.465	77
693	236	597.669	26.792	77
694	745	251.574	79.544	77
695	369	150.262	87.221	77
696	837	703.014	231.095	77
697	633	44.366	227.434	77
698	609	520.167	269.796	77
699	305	869.025	291.736	77
700	285	451.202	22.939	78
701	232	597.065	26.522	78
702	756	251.419	79.860	78
703	357	150.349	87.315	78
704	839	703.105	231.420	78
705	625	44.650	227.207	78
706	621	520.104	269.806	78
707	275	869.169	291.667	78
708	294	451.228	23.031	79
709	235	596.887	26.560	79
710	759	251.545	79.729	79
711	367	150.514	87.026	79
712	847	703.447	231.779	79
713	614	44.741	226.984	79
714	620	520.123	269.610	79
715	283	869.267	291.945	79
716	293	450.981	23.722	80
717	227	596.800	25.786	80
718	744	251.343	79.680	80
719	369	150.134	87.169	80
720	829	703.108	231.501	80
721	595	45.102	226.265	80
722	623	520.168	269.848	80
723	315	869.332	292.087	80
724	296	451.220	23.247	81
725	246	597.163	26.207	81
726	765	251.335	79.642	81
727	359	150.347	86.918	81
728	628	44.541	226.901	81
729	824	703.807	232.252	81
730	620	519.924	269.753	81
731	281	869.123	291.596	81
732	276	451.264	23.163	82
733	236	596.975	26.568	82
734	757	251.561	79.610	82
735	355	150.114	86.852	82
736	843	703.880	232.391	82
737	629	44.490	227.126	82
738	627	519.859	269.747	82
739	273	868.936	292.203	82
740	273	451.115	23.302	83
741	232	596.720	26.470	83
742	770	251.439	79.736	83
743	358	150.372	87.020	83
744	833	703.871	232.773	83
745	618	44.620	226.447	83
746	609	520.070	269.589	83
747	279	869.543	292.418	83
748	299	450.908	23.226	84
749	230	596.857	26.126	84
750	721	251.488	79.374	84
751	351	150.500	86.930	84
752	825	703.619	232.196	84
753	612	45.132	226.783	84
754	609	519.975	269.525	84
755	294	869.452	291.833	84
756	298	451.104	23.752	85
757	217	596.970	25.818	85
758	768	250.898	79.625	85
759	340	150.482	86.756	85
760	824	703.840	232.754	85
761	638	44.361	226.781	85
762	629	520.166	269.802	85
763	274	869.365	292.007	85
764	285	450.949	23.426	86
765	218	597.362	26.440	86
766	752	250.956	79.870	86
767	348	150.397	86.943	86
768	832	703.571	232.285	86
769	650	44.626	226.658	86
770	618	520.167	269.706	86
771	311	868.879	292.172	86
772	279	451.070	23.066	87
773	225	596.984	26.922	87
774	759	250.944	79.885	87
775	355	150.379	86.655	87
776	823	703.721	232.468	87
777	600	44.802	226.555	87
778	540	527.935	270.756	87
779	276	869.246	291.909	87
780	291	450.576	22.861	88
781	225	597.122	26.158	88
782	729	248.687	79.921	88
783	365	150.133	87.136	88
784	826	703.935	232.379	88
785	615	44.624	227.259	88
786	535	528.139	270.784	88
787	299	868.714	291.671	88
788	297	450.409	23.487	89
789	219	597.372	25.285	89
790	758	248.536	79.954	89
791	392	145.997	89.194	89
792	845	703.750	232.144	89
793	635	44.300	226.928	89
794	542	528.037	270.751	89
795	298	869.292	291.946	89
796	294	451.255	23.673	90
797	234	596.974	26.158	90
798	714	249.062	79.647	90
799	436	145.901	88.901	90
800	856	703.918	232.419	90
801	600	44.138	226.635	90
802	533	527.948	270.838	90
803	294	869.201	291.364	90
804	288	451.365	23.385	91
805	232	597.022	26.216	91
806	710	248.542	79.711	91
807	404	146.423	88.876	91
808	636	44.594	226.847	91
809	946	713.189	237.859	91
810	528	528.273	271.153	91
811	281	868.795	291.888	91
812	306	450.856	23.291	92
813	232	597.034	25.931	92
814	730	248.737	79.837	92
815	403	146.185	88.895	92
816	615	44.154	227.025	92
817	915	713.170	237.419	92
818	535	527.992	270.721	92
819	279	869.156	291.511	92
820	299	451.537	23.661	93
821	211	597.296	26.462	93
822	713	248.552	79.952	93
823	419	146.042	89.378	93
824	622	44.862	227.114	93
825	926	713.031	237.491	93
826	525	528.014	270.788	93
827	283	869.521	292.016	93
828	266	451.098	23.466	94
829	227	596.941	26.284	94
830	719	248.738	79.864	94
831	416	146.075	89.471	94
832	581	44.586	227.710	94
833	941	713.047	237.672	94
834	531	528.059	270.822	94
835	294	869.143	292.027	94
836	299	451.115	23.333	95
837	235	597.504	26.028	95
838	754	249.113	79.775	95
839	403	146.192	89.014	95
840	549	28.045	236.755	95
841	1055	719.691	242.721	95
842	527	527.906	271.056	95
843	296	869.686	291.919	95
844	285	451.026	23.398	96
845	162	597.735	24.926	96
846	743	248.863	79.963	96
847	413	146.122	89.067	96
848	504	28.421	236.629	96
849	565	723.550	266.240	96
850	517	527.483	270.693	96
851	585	763.652	271.346	96
852	296	869.017	291.959	96
853	280	450.539	23.046	97
854	225	597.264	26.269	97
855	709	248.944	79.641	97
856	399	146.766	89.417	97
857	528	28.422	236.394	97
858	562	723.632	266.420	97
859	527	528.278	270.695	97
860	568	763.268	270.838	97
861	304	869.405	292.118	97
862	297	450.924	23.500	98
863	230	596.817	26.157	98
864	730	248.860	79.837	98
865	417	145.807	88.860	98
866	550	28.482	236.815	98
867	567	723.525	266.415	98
868	539	528.088	270.730	98
869	572	763.719	271.760	98
870	299	869.711	291.855	98
871	290	450.645	23.431	99
872	242	596.860	26.467	99
873	741	248.516	79.814	99
874	397	146.518	89.049	99
875	556	28.406	237.216	99
876	558	723.421	266.378	99
877	531	527.914	270.730	99
878	603	763.412	271.246	99
879	284	869.229	291.930	99
880	277	451.204	23.561	100
881	232	597.026	26.728	100
882	673	248.901	79.598	100
883	408	146.267	89.375	100
884	516	28.353	236.283	100
885	570	723.604	266.842	100
886	523	528.246	270.794	100
887	579	763.374	271.512	100
888	281	868.657	291.938	100
889	293	451.210	23.101	101
890	245	596.904	26.700	101
891	710	248.699	79.831	101
892	400	146.080	89.108	101
893	472	29.008	235.775	101
894	580	723.417	266.441	101
895	524	528.052	271.118	101
896	604	763.480	271.240	101
897	298	868.681	292.094	101
898	317	450.699	23.585	102
899	231	596.794	26.353	102
900	725	248.512	79.579	102
901	426	146.681	89.110	102
902	516	28.388	236.734	102
903	547	723.637	266.147	102
904	520	527.813	270.944	102
905	598	763.430	271.525	102
906	307	869.050	292.458	102
907	296	451.206	23.348	103
908	227	596.941	26.187	103
909	748	252.322	79.674	103
910	412	130.536	90.221	103
911	475	28.066	236.420	103
912	538	723.717	266.093	103
913	517	528.109	270.757	103
914	597	762.994	271.649	103
915	289	869.420	292.054	103
916	296	450.655	23.486	104
917	239	596.810	26.387	104
918	309	231.979	78.610	104
919	410	130.498	90.122	104
920	510	28.386	236.200	104
921	545	723.406	266.293	104
922	523	528.030	270.840	104
923	584	763.560	271.378	104
924	292	869.007	292.339	104
925	297	451.052	23.423	105
926	237	596.804	26.217	105
927	604	230.952	84.709	105
928	426	130.371	90.343	105
929	453	28.807	235.674	105
930	575	723.643	266.297	105
931	520	527.635	270.612	105
932	600	763.617	271.622	105
933	283	869.274	291.426	105
934	274	450.909	23.299	106
935	242	596.719	26.087	106
936	587	231.008	85.076	106
937	408	130.230	90.078	106
938	462	29.102	237.084	106
939	550	723.269	266.309	106
940	526	527.774	270.968	106
941	595	763.364	271.076	106
942	288	869.181	292.035	106
943	288	451.340	23.715	107
944	238	596.903	26.202	107
945	601	231.139	84.515	107
